"Name of University","Research Score"
"University of KwaZulu-Natal","34.4"
"University of Lagos","14"
"Leibniz University Hannover","39.2"
"Lincoln University","22.6"
"University of Lincoln","17.4"
"Liverpool John Moores University","19"
"Mahatma Gandhi University","31.5"
"University of Marburg","30.1"
"Maynooth University","28.9"
"Middlesex University","19.6"
"University of Modena and Reggio Emilia","23.2"
"Muhimbili University of Health and Allied Sciences","11"
"Murdoch University","27.8"
"National and Kapodistrian University of Athens","20.1"
"University of Nebraska-Lincoln","31"
"University of Nebraska Medical Center","12.6"
"Norwegian University of Science and Technology","34.7"
"Nova Southeastern University","10.6"
"Örebro University","21.8"
"University of Passau","38.1"
"University of Pisa","30.2"
"University of Plymouth","22.7"
"Pontificia Universidad Católica de Chile","31.9"
"University of Porto","32.3"
"University of Portsmouth","19.2"
"Qazvin University of Medical Sciences","10.3"
"Qom University of Medical Sciences","9.8"
"Quaid-i-Azam University","22.9"
"Sabancı University","37.7"
"Sharif University of Technology","36.3"
"Shenzhen University","27.9"
"University of Siena","25.3"
"South China University of Technology","35.6"
"Southeast University","42.3"
"Southern Medical University","37.7"
"SRUC (Scotland’s Rural College)","12.6"
"University of Strathclyde","33.9"
"Sumy State University","12.3"
"Syracuse University","28"
"Universiti Teknologi Petronas","33.8"
"Tianjin University","42.8"
"Ton Duc Thang University","16"
"University of Trento","32.3"
"The University of Tulsa","17.1"
"University of Turin","29.7"
"TU Wien","37.4"
"Umeå University","29.6"
"Urmia University of Medical Sciences","10"
"Universiti Utara Malaysia","25.7"
"Victoria University of Wellington","34"
"University of Waikato","28.1"
"University of the West of England","14.6"
"William & Mary","21.4"
"Xiamen University","28.5"
"York University","33.1"
"Aberystwyth University","23.4"
"An-Najah National University","8.9"
"University of L’Aquila","24.3"
"Beihang University","39.6"
"Beijing Institute of Technology","36.2"
"Birmingham City University","10.8"
"University of Bradford","22.7"
"Bucharest University of Economic Studies","11.1"
"Centrale Nantes","28.7"
"Changsha University of Science and Technology","11.8"
"Charles University","31"
"University of Côte d’Azur","21.1"
"Damietta University","8.2"
"Durban University of Technology","11.6"
"Eastern Mediterranean University","14.2"
"École des Mines de Saint-Étienne","30.8"
"Federal University of Toulouse Midi-Pyrénées","27.5"
"Florida International University","27.4"
"University of Fribourg","31.3"
"Goldsmiths, University of London","25.9"
"Government College University Faisalabad","13.1"
"University of Greenwich","16.8"
"University of Guelph","33.4"
"Gwangju Institute of Science and Technology (GIST)","40.8"
"Harokopio University of Athens","24.2"
"Heriot-Watt University","31.1"
"Hokkaido University","40.8"
"Hong Kong Baptist University","28.2"
"University of Hull","24.6"
"University of Iceland","32"
"Indian Institute of Technology Ropar","15.4"
"University of Insubria","22.6"
"International Institute of Information Technology, Hyderabad","23.1"
"Iran University of Science and Technology","36.8"
"Islamic Azad University, Najafabad Branch (IAUN)","8.5"
"Constructor University Bremen","31.4"
"Jamia Millia Islamia","12.5"
"Jimma University","9.5"
"Johannes Kepler University of Linz","32.9"
"Jordan University of Science and Technology","10.3"
"Kafrelsheikh University","8.4"
"Kashan University of Medical Sciences and Health Services","13.4"
"Keele University","24.8"
"University of Kentucky","27.3"
"Kermanshah University of Medical Sciences","10.3"
"University of Kragujevac","8.3"
"Kyushu University","42.5"
"Lebanese American University","11.9"
"University of Lille","21.5"
"University of Lisbon","35.7"
"University of Management and Technology","9.5"
"University of Messina","23.6"
"Middle East Technical University","42.4"
"Missouri University of Science and Technology","26.7"
"University of Mons","27"
"National Tsing Hua University","42.6"
"National Yang Ming Chiao Tung University","46.7"
"University of Neuchâtel","25.2"
"University of Nicosia","16.6"
"Northumbria University","22.4"
"Northwestern Polytechnical University","37.7"
"Nottingham Trent University","15"
"Open University of Catalonia","18.9"
"University of Peradeniya","8.9"
"Universitat Ramon Llull","17"
"University of Salerno","23.3"
"University of Saskatchewan","30.3"
"University of Sassari","27.6"
"Saveetha Institute of Medical and Technical Sciences","8.5"
"Sciences Po","25.1"
"Shiraz University of Technology","22.8"
"SOAS University of London","38.5"
"University of South Carolina-Columbia","24"
"Southwestern University of Finance and Economics","12.8"
"University of Stavanger","15.6"
"Stevens Institute of Technology","20.5"
"SUNY University at Albany","25.7"
"University of Tabuk","8.6"
"Technion Israel Institute of Technology","30.9"
"Tokyo Medical and Dental University (TMDU)","29.7"
"University of Trieste","25.5"
"University of Tsukuba","37.8"
"TU Dortmund University","43.2"
"University of Tuscia","20.2"
"University of Udine","19.6"
"UiT The Arctic University of Norway","20.8"
"University of Valencia","23.8"
"University of Vic – Central University of Catalonia","12"
"Victoria University","26.9"
"Virginia Commonwealth University","12.3"
"Wayne State University","18.6"
"The University of the West Indies","10.8"
"Xi’an Jiaotong University","42.7"
"University of Zambia","9.2"
"Zayed University","16"
"Zhejiang Normal University","15.5"
"Abdul Wali Khan University Mardan","12"
"Åbo Akademi University","31.2"
"Addis Ababa University","12.4"
"Ahvaz Jundishapur University of Medical Sciences (AJUMS)","10"
"Ajou University","37.5"
"Amedeo Avogadro University of Eastern Piedmont","22.2"
"American University","16.8"
"American University of Sharjah","21.3"
"Amirkabir University of Technology","31.9"
"University of Antofagasta","9.5"
"University of Arkansas","27.6"
"Auburn University","23.4"
"Azarbaijan Shahid Madani University","13"
"University of Babylon","7.8"
"Bahçeşehir University","20.9"
"Bahria University","9.1"
"Banaras Hindu University","16.9"
"University of Bari Aldo Moro","22.8"
"Bar-Ilan University","34"
"Baylor University","18.3"
"Beirut Arab University","16.4"
"Ben-Gurion University of the Negev","31.1"
"Benha University","8.6"
"Université Bourgogne Franche-Comté (UBFC)","18.3"
"Ca’ Foscari University of Venice","32.3"
"University of Camerino (Unicam)","15.8"
"University of Canterbury","27.5"
"Capital Medical University","18.3"
"Carleton University","30.5"
"University of Central Florida","29.5"
"Central Queensland University","19.6"
"Chongqing University","33.2"
"Chung-Ang University","38.3"
"Clark University","20.7"
"University of Coimbra","35.2"
"University of Colombo","9.6"
"COMSATS University Islamabad","14.7"
"Concordia University","27.4"
"University of Córdoba","21.2"
"University of Costa Rica","9"
"Covenant University","24.8"
"Cyprus University of Technology","16.7"
"Dalian University of Technology","29.6"
"Delhi Technological University","17"
